epoch,phase,loss,accuracy
1,train,0.26592491824952585,0.919814502529511
1,test,0.47311454945276404,0.8457905544147843
2,train,0.2600206660681591,0.9203204047217538
2,test,0.4729187993543104,0.8433264887063655
3,train,0.2589040351423271,0.9200112422709388
3,test,0.47283264144000575,0.8429158110882957
4,train,0.2524721781680797,0.9241427768409218
4,test,0.4732301369829589,0.8433264887063655
5,train,0.24842484658557823,0.9241708825182687
5,test,0.470638256604177,0.8435318275154003
6,train,0.25080102522631853,0.9228499156829679
6,test,0.4728647955389238,0.8435318275154003
7,train,0.24481980890085886,0.924929735806633
7,test,0.4727319641402125,0.8425051334702258
8,train,0.2409311102658192,0.9243114109050028
8,test,0.4754984649055058,0.8410677618069815
9,train,0.23740174419227245,0.9259696458684654
9,test,0.47158839227727306,0.8427104722792608
10,train,0.23861825581411755,0.9236087689713323
10,test,0.4742362250048032,0.8396303901437372
11,train,0.23860767962826712,0.9253513209668353
11,test,0.4734836906745449,0.8425051334702258
12,train,0.2379720954328122,0.9251264755480607
12,test,0.4717588919266538,0.8437371663244353
13,train,0.23162655108192115,0.9276840921866217
13,test,0.47369114101789817,0.840041067761807
14,train,0.23553817736057164,0.9254637436762226
14,test,0.47192872554614557,0.8416837782340862
15,train,0.23441597278229367,0.9251545812254075
15,test,0.47309335656234613,0.842094455852156
16,train,0.2283974080624508,0.9275435637998876
16,test,0.4751135127989908,0.8412731006160165
