epoch,phase,loss,accuracy
1,train,1.9224113113763561,0.3039629005059022
1,test,1.5881246960383422,0.41950718685831623
2,train,1.6458502521536336,0.40668915120854415
2,test,1.438765791309443,0.46919917864476385
3,train,1.5436899097800725,0.4460370994940978
3,test,1.3763650988651253,0.504517453798768
4,train,1.4994309895624265,0.46408094435075886
4,test,1.3109923771764218,0.5297741273100616
5,train,1.4570698652996517,0.47689713322091065
5,test,1.3034029685006738,0.5299794661190965
6,train,1.4145035296226232,0.4951096121416526
6,test,1.2647547410988464,0.5431211498973306
7,train,1.3799214775338475,0.5052557616638561
7,test,1.233517715279816,0.5503080082135523
8,train,1.3533247889260887,0.5170320404721754
8,test,1.2293306497088203,0.5544147843942505
9,train,1.3334869474289859,0.5228218100056211
9,test,1.169255668426686,0.5774127310061602
10,train,1.3097893414569746,0.5353288364249579
10,test,1.1811615270266054,0.575564681724846
11,train,1.2851130725025393,0.5437043282743114
11,test,1.1496788998159295,0.5862422997946611
12,train,1.264233428940068,0.549044406970208
12,test,1.1371858458254616,0.5917864476386037
13,train,1.2377241590439838,0.5600618324901631
13,test,1.135591596695432,0.6051334702258727
14,train,1.2142611932727714,0.5709387296233839
14,test,1.0918104433915454,0.6018480492813142
15,train,1.1963916453704062,0.5747892074198988
15,test,1.0697819887490243,0.6117043121149898
16,train,1.1804098803384575,0.5818718381112985
16,test,1.0394128067782282,0.6246406570841889
17,train,1.1590134297414332,0.5865373805508712
17,test,1.0451253021522224,0.628747433264887
18,train,1.1424643737536726,0.5953344575604272
18,test,1.0378956999866868,0.6283367556468172
19,train,1.1201013767163093,0.5991849353569421
19,test,1.0290857230613364,0.6349075975359343
20,train,1.1053888456549386,0.6075042158516021
20,test,1.000504972704627,0.6484599589322382
21,train,1.0846936878962354,0.6147554806070826
21,test,0.99039908277915,0.6472279260780287
22,train,1.0668786011230014,0.6211354693648117
22,test,0.9787796421707043,0.6581108829568788
23,train,1.045210858983495,0.6296795952782462
23,test,0.9518607509209634,0.6630390143737166
24,train,1.0320750480290541,0.6328274311410905
24,test,0.9541479178400255,0.6616016427104723
25,train,1.0019989035918915,0.646655424395728
25,test,0.920842986344312,0.6708418891170431
26,train,0.9898016908116526,0.6498032602585723
26,test,0.9229485508964781,0.6665297741273101
27,train,0.9749603103559429,0.6550309162450815
27,test,0.9183141918887348,0.6716632443531827
28,train,0.9569654380759206,0.6655424395727937
28,test,0.8931644957168391,0.680082135523614
29,train,0.9368706947568429,0.6695334457560427
29,test,0.9018377462206925,0.6788501026694045
30,train,0.9209713451375848,0.6724002248454188
30,test,0.9086039625398922,0.6841889117043121
31,train,0.9068845227168074,0.6778808319280495
31,test,0.8880002200236311,0.6907597535934291
32,train,0.8903546298669255,0.6868184373243396
32,test,0.8962421321281417,0.682135523613963
33,train,0.869565013079512,0.6913996627318718
33,test,0.8713639715736162,0.6944558521560574
34,train,0.8598712579663916,0.6961214165261382
34,test,0.8958525784940935,0.684599589322382
35,train,0.8468281133647981,0.7010399100618325
35,test,0.8461652362371127,0.6960985626283367
36,train,0.833121651575229,0.7061832490163013
36,test,0.8687947009623173,0.6891170431211499
37,train,0.8180246368628529,0.7125632377740304
37,test,0.8563631518787916,0.7014373716632444
38,train,0.807003718202472,0.714221472737493
38,test,0.8590824846491921,0.6983572895277207
39,train,0.7955576116412861,0.7184373243395166
39,test,0.8519284044447866,0.702258726899384
40,train,0.7843303114326567,0.7247892074198988
40,test,0.8483552973618008,0.7078028747433265
41,train,0.7698481214388225,0.7262788083192805
41,test,0.8542026849987571,0.7018480492813142
42,train,0.7596559552143906,0.733052276559865
42,test,0.8619233386105336,0.7018480492813142
43,train,0.7339039527545691,0.7421304103428893
43,test,0.8501032721886155,0.7073921971252567
44,train,0.7237225554778778,0.7467678471051152
44,test,0.8231653153957528,0.7131416837782341
45,train,0.7121941788669648,0.7480044969083754
45,test,0.8515235808106174,0.7032854209445585
46,train,0.7043070299093344,0.7522203485103991
46,test,0.8459794462002523,0.7127310061601643
47,train,0.6904325860078714,0.7552838673412029
47,test,0.8427904798020083,0.7137577002053388
48,train,0.6807498348771085,0.7612422709387296
48,test,0.8320222725858434,0.7221765913757701
49,train,0.6645635022280791,0.7662169758291175
49,test,0.8538038587851691,0.7160164271047228
50,train,0.6586904641213612,0.7693086003372681
50,test,0.8250972992218495,0.7184804928131416
51,train,0.6416229706590534,0.7726531759415401
51,test,0.8447363807313006,0.7158110882956878
52,train,0.6356126988517092,0.7759696458684654
52,test,0.8225750080369092,0.7275154004106776
53,train,0.6190686636322197,0.7820685778527262
53,test,0.8364749757293803,0.7149897330595483
54,train,0.6066498868246973,0.7906970207982013
54,test,0.8253761166175043,0.7293634496919917
55,train,0.5998167362489213,0.7897695334457561
55,test,0.8119561403928596,0.7388090349075975
56,train,0.5882168212856317,0.7941259134345138
56,test,0.8300127032478732,0.7303901437371663
57,train,0.5722497332759491,0.7998313659359191
57,test,0.8430217875898252,0.7305954825462012
58,train,0.5743180616710077,0.8004496908375492
58,test,0.8441510282196792,0.73347022587269
59,train,0.5567495686341833,0.8046936481169197
59,test,0.8512799541502273,0.7268993839835729
60,train,0.5485804654427496,0.8063799887577291
60,test,0.8352139382452936,0.7361396303901437
61,train,0.5299920545326584,0.8173412029229905
61,test,0.8230661395149309,0.7330595482546202
62,train,0.5310632418487231,0.814390106801574
62,test,0.837194653776392,0.7297741273100616
63,train,0.5204196681863743,0.8182967959527825
63,test,0.8530816543151221,0.728747433264887
64,train,0.5019264489965133,0.8259696458684654
64,test,0.854348222565602,0.7295687885010267
65,train,0.5018253582323985,0.8236087689713322
65,test,0.8389065913840731,0.7322381930184805
66,train,0.4868670705163526,0.8290893760539629
66,test,0.8435594623828081,0.740041067761807
67,train,0.4857868588660928,0.8316469926925238
67,test,0.8242281162763279,0.7394250513347023
68,train,0.47077375917437375,0.8369589657110736
68,test,0.9097876091634958,0.7252566735112936
69,train,0.4707286594689998,0.8346261944912873
