epoch,phase,loss,accuracy
1,train,2.2231351841963565,0.20078695896571108
1,test,2.0194729700225578,0.2560574948665298
2,train,2.106596554203473,0.26871838111298485
2,test,1.8049101232258447,0.3482546201232033
3,train,2.0185595680181065,0.31551433389544686
3,test,1.660491611629541,0.3899383983572895
4,train,1.995289160161289,0.3317594154019112
4,test,1.6179881125749749,0.4139630390143737
5,train,1.9518640274409165,0.35311973018549747
5,test,1.575571946686543,0.4359342915811088
6,train,1.9389059532754136,0.3621697582911748
6,test,1.5524157199037147,0.43162217659137575
7,train,1.9270765456944252,0.37344013490725125
7,test,1.5573908206128977,0.4429158110882957
8,train,1.9093388444322625,0.37925801011804383
8,test,1.531415060266577,0.44004106776180696
9,train,1.9132074867224949,0.38780213603147834
9,test,1.486903625738939,0.4794661190965092
10,train,1.9160718228724514,0.37608206857785276
10,test,1.453823329731669,0.495482546201232
11,train,1.882487244737356,0.3935637998875773
11,test,1.458082647098408,0.4819301848049281
12,train,1.8871794411143001,0.3974142776840922
12,test,1.4422348022460938,0.4950718685831622
13,train,1.8696538306542365,0.40601461495222035
13,test,1.4357130951949948,0.4938398357289528
14,train,1.8724196727923157,0.4062956717256886
14,test,1.3925630620372857,0.5092402464065708
15,train,1.8561555030977144,0.4146711635750422
15,test,1.4166023179980518,0.4870636550308008
16,train,1.832643563000924,0.4295390668915121
16,test,1.3719145033149014,0.5160164271047227
17,train,1.851778777440389,0.4169758291174817
17,test,1.3786410682255237,0.5174537987679672
18,train,1.8493796321500078,0.4249016301292861
18,test,1.380866053314914,0.524229979466119
19,train,1.8388251890152476,0.42377740303541317
19,test,1.3482974552275953,0.5320328542094456
20,train,1.8369560810606957,0.4332771219786397
20,test,1.3424999576329695,0.5402464065708419
21,train,1.8105618752677364,0.4341202922990444
21,test,1.3124714830328061,0.5523613963039015
22,train,1.8268378659538367,0.433389544688027
22,test,1.3374808574359276,0.5308008213552361
23,train,1.8195602353199472,0.43974142776840924
23,test,1.3232374388579227,0.5437371663244354
24,train,1.8127790819064094,0.4396290050590219
24,test,1.271471611430268,0.5763860369609857
25,train,1.7882735729753603,0.45210792580101183
25,test,1.2917596035179906,0.553388090349076
26,train,1.7703197227695673,0.45668915120854414
26,test,1.299581469353709,0.5437371663244354
27,train,1.7739855318139148,0.45801011804384484
27,test,1.2394821857280065,0.575564681724846
28,train,1.7794083972939485,0.45823496346261944
28,test,1.2708871199120242,0.5519507186858316
29,train,1.8066050020344409,0.44890387858347386
29,test,1.2683308232246728,0.5597535934291581
30,train,1.7796058121660308,0.4616076447442383
30,test,1.2640274655402808,0.5679671457905544
31,train,1.787280870649907,0.4603709949409781
31,test,1.2687195002910292,0.5611909650924024
32,train,1.7722733377807256,0.4668915120854413
32,test,1.2417055284707699,0.5741273100616017
33,train,1.7737180586810055,0.4627599775154581
33,test,1.246327746232677,0.5749486652977412
34,train,1.756638518647574,0.46568296795952785
34,test,1.2534058892506594,0.5675564681724846
35,train,1.7715030539900216,0.46537380550871277
35,test,1.2456725252237653,0.5671457905544148
36,train,1.7744776191840084,0.464221472737493
36,test,1.2090791813891526,0.595482546201232
37,train,1.768080842394451,0.4716975829117482
37,test,1.21065506499406,0.5911704312114989
38,train,1.7578071250615326,0.47906127037661606
38,test,1.2029301435795652,0.6014373716632443
39,train,1.7771620740241854,0.46087689713322094
39,test,1.2085622031096315,0.5946611909650924
40,train,1.758049121313111,0.4669477234401349
40,test,1.2229980793332171,0.5909650924024641
41,train,1.7308801979077808,0.4875491849353569
41,test,1.2202115855422597,0.5726899383983572
42,train,1.7230597689019085,0.48355817875210794
42,test,1.2093997048891056,0.5895277207392197
43,train,1.761055705827431,0.4782462057335582
43,test,1.1803406521524982,0.6
44,train,1.7555452303111787,0.4776840921866217
44,test,1.1911177792098733,0.6008213552361397
45,train,1.7261710085448019,0.4914558740865655
45,test,1.1656162933647265,0.6028747433264887
46,train,1.7592027372024648,0.4825744800449691
46,test,1.1705655081805753,0.6057494866529775
47,train,1.741489838535294,0.48378302417088254
47,test,1.1852478443964307,0.5993839835728952
48,train,1.7476616655594182,0.4811410905002811
48,test,1.226267830938774,0.5806981519507187
49,train,1.747063353317651,0.48150646430578975
49,test,1.1733882823763933,0.6055441478439425
50,train,1.755312209587676,0.4798482293423272
50,test,1.2009933402161335,0.5919917864476386
51,train,1.7467588865736885,0.48636874648679035
51,test,1.1923554611891447,0.5903490759753593
52,train,1.7025531421825415,0.5021641371557054
52,test,1.1577917607902746,0.6145790554414784
53,train,1.704328623402313,0.49817313097245647
53,test,1.1611410003912768,0.6166324435318276
54,train,1.717577526179373,0.49272062956717255
54,test,1.1728087186079006,0.6082135523613963
