epoch,phase,loss,accuracy
1,train,0.5750851671236027,0.8414558740865655
1,test,0.6166196369414947,0.7963039014373716
2,train,0.5223047695111666,0.8384204609331085
2,test,0.5951923444530558,0.7975359342915811
3,train,0.49755313074809904,0.8395446880269815
3,test,0.588924868567034,0.7965092402464066
4,train,0.4813642924189769,0.8430860033726812
4,test,0.5851253002331243,0.7963039014373716
5,train,0.47601849693069975,0.8422990444069702
5,test,0.5811422367849879,0.7965092402464066
6,train,0.46907178191002197,0.8411748173130973
6,test,0.5809756765130609,0.7958932238193018
7,train,0.46449114958378224,0.8470489038785834
7,test,0.5813104525177876,0.7975359342915811
8,train,0.45839628036133423,0.8439853850477796
8,test,0.5791528747128265,0.7958932238193018
9,train,0.4636810616705778,0.842973580663294
9,test,0.5801144403598637,0.7973305954825461
10,train,0.4573277065028898,0.8462619449128724
10,test,0.5788395949886075,0.7975359342915811
11,train,0.4589627190109315,0.8442383361439011
11,test,0.579285974968875,0.795482546201232
12,train,0.45701486543030334,0.84345137717819
12,test,0.5805454944866638,0.7969199178644764
13,train,0.44542620460125354,0.849353569421023
13,test,0.5777716512797549,0.7995893223819301
14,train,0.4537752768308544,0.8442383361439011
14,test,0.581246525789678,0.7975359342915811
15,train,0.447950267872159,0.8464305789769534
15,test,0.5800031687505925,0.7971252566735113
16,train,0.44728135417323894,0.8465992130410342
16,test,0.579791416494019,0.7973305954825461
17,train,0.4441537090537922,0.8496065205171445
17,test,0.5796127785341451,0.797741273100616
18,train,0.44806439812227605,0.8473580663293986
18,test,0.5815026225801366,0.7958932238193018
19,train,0.4451399865614155,0.8461495222034852
19,test,0.5802531202776966,0.7950718685831623
20,train,0.43606111038729606,0.8483136593591906
20,test,0.5786641886224492,0.7975359342915811
21,train,0.43873471429067895,0.8483698707138843
21,test,0.5804950004302011,0.7983572895277208
22,train,0.4295854221977097,0.8542720629567173
22,test,0.5801763227894076,0.7979466119096509
23,train,0.4363247851430197,0.8494940978077572
23,test,0.5794515337481391,0.7973305954825461
24,train,0.4310133270764364,0.8517144463181563
24,test,0.5787658853697336,0.7983572895277208
25,train,0.43496751800020333,0.848566610455312
25,test,0.5796962663929076,0.797741273100616
26,train,0.4346231391116298,0.8513490725126476
26,test,0.5805139812661881,0.7975359342915811
27,train,0.429871940291149,0.8526419336706015
27,test,0.5806494932644666,0.7979466119096509
28,train,0.43447737845227313,0.8495784148397977
28,test,0.5797212306723702,0.7989733059548254
29,train,0.43538715116692234,0.8506464305789769
29,test,0.5800215972828424,0.7973305954825461
30,train,0.431724355340071,0.8499156829679595
30,test,0.5791433256815591,0.7983572895277208
31,train,0.43116108322156954,0.8519392917369308
31,test,0.5805665504332685,0.7991786447638604
32,train,0.4258062416010187,0.8529229904440697
32,test,0.579318449782395,0.7991786447638604
33,train,0.4219214542117127,0.8565205171444632
33,test,0.5785820921833266,0.797741273100616
