epoch,phase,loss,accuracy
1,train,2.7412477840125526,0.23724002248454187
1,test,1.6862935902401652,0.38049281314168376
2,train,2.474005907046922,0.3182967959527825
2,test,1.5429356244065677,0.4326488706365503
3,train,2.3772854092283286,0.34732996065205174
3,test,1.4616446556741451,0.4652977412731006
4,train,2.319111530830379,0.37200674536256323
4,test,1.4305402008659787,0.48726899383983574
5,train,2.2553888640958584,0.38204047217537945
5,test,1.3127143291966872,0.528747433264887
6,train,2.2121161997217755,0.39398538504777963
6,test,1.2826762820660946,0.5476386036960985
7,train,2.1836710427033896,0.40913434513771785
7,test,1.2108393886985231,0.5749486652977412
8,train,2.1328350472946123,0.41082068577852726
8,test,1.2540850038645939,0.5562628336755647
9,train,2.104276032311116,0.42644744238336146
9,test,1.1722109307498658,0.5942505133470226
10,train,2.0872812642080856,0.44021922428330523
10,test,1.1223299990444457,0.6059548254620123
11,train,2.0536546250686945,0.44747048903878583
11,test,1.2009044417120838,0.5956878850102669
12,train,2.025468255536753,0.44609331084879145
12,test,1.1056830828929094,0.6182751540041068
13,train,2.0043052183100856,0.45972456436200115
13,test,1.0684061953908854,0.635523613963039
14,train,1.9813785414939653,0.46385609893198426
14,test,1.0675626731751147,0.6252566735112937
15,train,1.9631202013188362,0.4689432265317594
15,test,1.0928513045673254,0.6349075975359343
16,train,1.9428247939608887,0.4712759977515458
16,test,1.020493254989569,0.648870636550308
